year,n_fatal_moto,n_fatal_moto_tce,pct_tce
2015,3234,1156,35.7452071737786
2016,3733,1269,33.9941066166622
2017,3352,1039,30.9964200477327
2018,3431,1090,31.769163509181
2019,3642,1178,32.34486545853927
2020,3114,1055,33.87925497752087
2021,4405,1454,33.00794551645857
2022,5004,1678,33.533173461231016
2023,5251,1775,33.80308512664254
2024,5152,1570,30.47360248447205
