Variable,OR,IC95% inf,IC95% sup,p-valor
Intercept,31.75573240241448,25.399990929371185,39.70184647773502,2.5809755155539776e-202
sexo[T.Mujer],0.4773764357351167,0.40378264235545314,0.5643835011475112,4.877657178560095e-18
zona_bin[T.Urbano],0.12676805896211152,0.10211238345611226,0.1573770019767319,3.6318780715039683e-78
rol[T.Pasajero],0.5886581509599661,0.5001842583547825,0.692781535811188,1.806793741232695e-10
"year_c [NO interpretar: artefacto de captura, ver ANALYSIS_LOG.md]",1.2245792689576915,1.19745514569668,1.2523177935725431,2.5521809483017297e-70
